S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,209,689,"35,994","1,51,211"
1,Bada Sahi,5,18,"1,858","7,674"
2,Balabhadrapur,5,14,"1,080","4,173"
3,Bhimda,5,14,839,"3,675"
4,Bireswarapur,7,23,"1,465","5,945"
5,CHANDANPUR,13,37,"1,396","6,205"
6,Chhelia -a,10,38,"1,523","6,722"
7,Deulia,6,13,"1,127","5,078"
8,Durgapur,13,44,"1,810","7,677"
9,G.bandha,5,20,975,"4,101"
10,Jadunathpur,7,27,"1,125","4,683"
11,Jarkani,6,17,896,"3,770"
12,Joginuagaon,7,20,949,"4,450"
13,Kendudiha,7,20,"1,184","5,253"
14,Khanua,1,13,"1,089","4,291"
15,Kochilakhunta,6,25,"1,322","6,054"
16,Madhapur,7,25,"1,154","4,525"
17,Managobinda Pur,13,36,"1,613","6,900"
18,Manatri,5,19,"1,403","6,654"
19,Naupal,6,20,643,"2,512"
20,Patisari,7,26,"1,165","5,159"
21,Paunsia,6,24,"1,060","3,991"
22,Pratap Pur,7,34,"2,030","8,034"
23,Purna Chandra Pur,5,19,"1,096","4,265"
24,Salagan,6,24,887,"3,637"
25,Sanakeruko,9,21,"1,357","5,426"
26,Sialighati,10,21,"1,519","5,792"
27,Suhag Pur,7,30,902,"3,902"
28,Tala Pada,5,16,725,"3,086"
29,Tangasole,8,13,951,"4,013"
30,Uthaninuagan,5,18,851,"3,564"
,Total,209,689,"35,994","1,51,211"
