S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,127,125,642,"17,080","73,371"
1,B.c.pur,5,4,45,915,"4,234"
2,Badfeni,17,17,61,"1,591","6,668"
3,Badpathara,11,11,55,"1,259","5,562"
4,Bahanada,16,16,69,"1,488","6,364"
5,Bangara,7,7,42,968,"4,227"
6,Basipitha,12,12,50,"1,683","7,501"
7,Bholagadia,5,5,40,"1,205","4,877"
8,Dengam,8,8,37,768,"3,729"
9,Dhanghera,5,5,41,"1,451","6,313"
10,Dukura,6,6,40,"1,201","4,675"
11,Gadigoan,9,8,49,"1,320","5,549"
12,Karkachia,11,11,55,"1,421","6,226"
13,Laxman Sahi,6,6,25,979,"3,882"
14,Sapanchua,9,9,33,831,"3,564"
,Total,127,125,642,"17,080","73,371"
