S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,253,"1,038","39,349","1,77,828"
1,Baghamari,7,27,"1,250","5,885"
2,BALISAHIPATNA,7,34,"1,225","6,296"
3,Bandhapada,8,54,"1,841","7,343"
4,Belpal,1,10,858,"3,681"
5,Bhitargarh,10,26,"1,122","4,899"
6,BRAHMANSAHI,8,27,"1,547","7,273"
7,CHANDIBAUNSMUL,12,55,"1,563","7,405"
8,Dangamal,7,21,618,"2,768"
9,Dera,10,36,"1,116","4,966"
10,Ghadiamal,6,35,"1,436","6,291"
11,Gupti,15,40,"2,035","9,137"
12,Hatina,10,40,"1,441","7,028"
13,Iswarpur,13,56,"2,159","9,206"
14,Kandira,22,49,"1,785","8,245"
15,Keradagarh,1,13,647,"3,423"
16,Keruapal,9,38,"1,364","6,457"
17,Khamarsahi,6,22,636,"2,674"
18,KOLIPUR,17,60,"1,768","7,557"
19,Krushnanagar,6,19,871,"3,969"
20,Kurunti,13,52,"1,814","8,020"
21,Mahisasura,7,29,"1,045","5,024"
22,Mahulia,8,42,"1,434","6,824"
23,Ostia,8,50,"1,888","8,599"
24,Rajnagar,4,23,"1,244","5,678"
25,Rajpur,3,25,907,"4,204"
26,Rangani,11,47,"1,582","7,370"
27,S.b. Gopalpur,9,50,"1,870","7,815"
28,Satavaya,6,25,911,"3,673"
29,Talachua,9,33,"1,372","6,118"
,Total,253,"1,038","39,349","1,77,828"
