S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,39,39,121,"7,365","29,731"
1,Anekabeda,3,3,7,339,"1,423"
2,Beheramunda,3,3,13,591,"2,184"
3,Chandahandi,2,2,4,354,"1,433"
4,Dalabeda,4,4,17,"1,033","4,378"
5,Dhodipani,1,1,3,234,915
6,Jamadarpoda,2,2,8,381,"1,463"
7,Koilimunda,7,7,14,856,"3,428"
8,Kuhudi,3,3,7,415,"1,661"
9,Malgam,1,1,2,64,256
10,Mohara,2,2,2,537,"2,008"
11,Patakhalia,7,7,29,"1,587","6,456"
12,Phatiki,2,2,12,893,"3,803"
13,Sardapur,2,2,3,81,323
,Total,39,39,121,"7,365","29,731"
