S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,102,571,"24,438","1,20,843"
1,Anseikala,7,51,"1,510","8,397"
2,Badakalimati,7,39,"1,207","5,681"
3,Balada,4,18,"1,130","5,972"
4,Balagoda,2,20,667,"3,277"
5,Bhadra Sahi,6,37,"1,643","7,601"
6,Bhuiamroida,3,24,"1,384","9,623"
7,Birikala,6,31,"1,622","7,136"
8,Bolani,13,56,"2,677","11,301"
9,Chamakpur,2,17,427,"2,009"
10,Deojhar,7,40,"1,477","7,326"
11,Guali,6,25,"1,134","5,298"
12,Jajanga,6,50,"1,577","7,291"
13,Jalahari,2,15,"1,099","5,841"
14,Jurudi,2,15,871,"4,823"
15,Kandara,6,44,"1,297","6,788"
16,Karakhendara,4,24,"1,102","5,484"
17,Laidapada,7,23,"1,026","4,745"
18,Palasa,8,25,"1,493","6,439"
19,Serenda,4,17,"1,095","5,811"
,Total,102,571,"24,438","1,20,843"
